ENTITY, TYPE, COUNT
Vereniging van Beoefenaars der Gebonden Kunsten,ORG,44
Daniel F. Rubin de la Borbolla,PERSON,33
van de Raad voor de Kunst,PERSON,28
Daniel F. Rubin de la Borbolla,PER,26
van het Algemeen Burgerlijk Pensioenfonds te ’s-Gravenhage,PER,25
Voor het instellen van dit beroep,PER,24
the National Endowment for the Arts,ORG,23
ingeschreven bij de Kamer van Koophandel,PERSON,20
verzoeken wij u de kopie van dit,PERSON,20
ontvangst van de acceptgiro die tegelijk,PER,19
die deze mededeling moet bewaren ten,MISC,19
Op de leden wordt een beroep ,PER,19
het pensioenfonds wordt de som bepaald,LOC,16
Tegen de beslissing van de Pensioenraad,PER,16
Tegen de beslissing omtrent de pensioengrondslag,ORG,15
California College of Arts and Crafts,ORG,15
The Corning Museum of Glass, Corning,ORG,14
van de Centrale Raad van Beroep,PER,14
INDIEN NAAR UW MENING DE SALARISVASTSTELLING,MISC,13
sinds het begin van het cursusjaar,ORG,13
nu ook de zomermaanden doorbetaald krijgen,PERSON,12
Vereniging van Vrienden van Modern Glas,PER,12
the First World Congress of Craftsmen,ORG,11
van de verlenging van de cursusduur,PERSON,11
Musée des Arts Décoratifs de Paris,LOC,11
Vereniging van Beoefenaars der Gebonden Kunsten,MISC,11
lesavonden daalt van 4 tot 3,PER,11
Bij elke verandering van wedde wordt,PER,11
aanspraken op salaris ingeval van militaire,PER,11
The National Museum of Modern Art,ORG,10
Datum van ingang van de nieuwe,PERSON,10
Il publie le World Crafts Council,ORG,10
van keramiek - glas - metaal,PERSON,10
the Rhode Island School of Design,ORG,10
gezien van belang kunnen worden geacht,PERSON,10
krijgbaar bij de Raad van Arbeid,PERSON,10
Department of Art University of Wisconsin,ORG,10
The Independent Glassblower in US Funds,MISC,10
het bovenstaande in principe akkoord gaat,MISC,10
Bij aanvragen van pensioen kan het,PER,10
Description of the technique (production method,ORG,9
May 29 - June 5, 1970,DATE,9
behoud van het met de hand,PERSON,9
Ingevolge de bepalingen van de Invaliditeitswet,PERSON,9
School of Humanities and Social Science,MISC,9
Vereniging van Vrienden van Modern Glas,PER,9
Theo Dobbelman en Emmy van Deventer,PER,9
Centraal Orgaan voor het Scheppend Ambacht,ORG,8
18 years of age or older,DATE,8
Tegen de beslissing van de Pensioenraad,ORG,8
the Creative Glass Center of America,ORG,8
la cooperation est vitale si l’on,ORG,8
beeld de ceramiek en de beeldhouwkunst,PERSON,8
the Arts Council of Great Britain,ORG,8
vrachtkosten                 ,PER,8
June 1964 by representatives of 46,MISC,8
van de Centrale Raad van Beroep,PER,8
dans les domaines con- cernant le dessin,MISC,8
PENLAND & LINE        Neighborhood News,ORG,7
Rhode Island School of Design, Providence,ORG,7
jaren een Master of Fine Arts,PERSON,7
the First World Congress of Craftsmen,EVENT,7
the Surrey County Council Education Department,ORG,7
binnen ook de andere vakken werden,PERSON,7
betrekken wij al naar de gelegenheid,PERSON,7
Notulen van de vergadering van het,PER,7
SEPTEMBER 9 & 10 INTERNATIONAL CONFERENCE,MISC,7
|                 ,PER,7
The Continuous Use Limit of Fiberfrax,MISC,7
Canada and any place outside thereof,ORG,7
